,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
0,354596.0,1,6.5,1205854.0,8.0,2,3,31754.32,13.5,14.0,0.0,385054.0,505494.0,0.0,0.0
1,630476.0,1,7.5,3208682.0,9.0,0,3,48664.89,24.0,17.0,0.0,870067.0,1512698.0,0.0,0.0
2,396990.0,1,7.0,1074108.0,2.0,2,3,13515.84,4.9,6.0,0.0,324748.0,686180.0,0.0,0.0
3,98142.0,1,6.0,1174162.0,2.0,2,9,14245.25,11.4,5.0,0.0,28101.0,84964.0,0.0,0.0
4,335060.0,1,7.0,1523971.0,3.0,0,3,15620.66,31.3,16.0,0.0,280212.0,793298.0,0.0,0.0
5,154770.0,1,7.0,1174162.0,10.0,2,3,24059.7,22.5,7.0,0.0,45866.0,84040.0,0.0,0.0
6,351824.0,0,6.5,661181.0,3.0,2,3,6281.21,5.8,5.0,0.0,47994.0,242660.0,0.0,0.0
7,219274.0,1,7.0,1174162.0,2.0,1,3,26512.22,18.0,17.0,0.0,395808.0,679976.0,0.0,0.0
8,352418.0,1,7.5,695134.0,5.0,2,3,15582.47,21.5,16.0,1.0,366757.0,722238.0,1.0,0.0
9,77836.0,1,7.0,1174162.0,1.0,2,3,9459.53,12.9,8.0,0.0,28310.0,95568.0,0.0,0.0
10,313258.0,1,7.0,1578121.0,2.0,2,3,13940.11,10.1,9.0,0.0,339568.0,476586.0,0.0,0.0
11,172744.0,1,7.5,1174162.0,1.0,2,3,9074.97,13.3,15.0,0.0,71041.0,1015410.0,0.0,0.0
12,518078.0,1,7.0,1864280.0,5.0,0,3,26721.22,17.5,18.0,0.0,390621.0,886864.0,0.0,0.0
13,292314.0,1,7.0,1174162.0,5.0,0,3,7444.77,23.9,10.0,0.0,306280.0,537350.0,0.0,0.0
14,446644.0,1,7.0,964345.0,2.0,2,3,23385.39,12.0,16.0,0.0,281409.0,549494.0,0.0,0.0
15,79596.0,1,7.0,1050225.0,8.0,2,3,10327.07,13.8,6.0,0.0,101327.0,125994.0,0.0,0.0
16,262790.0,1,7.5,1174162.0,1.0,0,3,9221.84,6.0,8.0,0.0,183483.0,363814.0,0.0,0.0
17,440616.0,0,7.0,951330.0,10.0,0,3,25765.33,15.3,8.0,0.0,363185.0,643016.0,0.0,0.0
18,111144.0,1,6.5,1174162.0,7.0,0,3,15676.52,13.7,10.0,0.0,430787.0,838332.0,0.0,0.0
19,612920.0,1,7.5,2268600.0,3.0,0,3,24954.6,28.9,13.0,0.0,575776.0,1666698.0,0.0,0.0
20,179630.0,1,7.0,872613.0,2.0,2,11,3606.77,13.3,9.0,1.0,53865.0,170412.0,1.0,0.0
21,529892.0,1,7.0,2288208.0,10.0,1,5,11917.75,38.6,6.0,0.0,62871.0,1233804.0,0.0,0.0
22,234982.0,1,7.0,1031776.0,10.0,0,3,18056.08,28.1,13.0,0.0,291327.0,950224.0,0.0,0.0
23,108350.0,1,6.5,505248.0,4.0,2,3,4420.92,5.2,8.0,0.0,119909.0,216612.0,0.0,0.0
